acafela.net.vn.		43200	IN	NS	ns.kornet.ne.kr.
acafela.net.vn.		43200	IN	NS	ns2.kornet.ne.kr.
acb.net.vn.		43200	IN	NS	ns1.zonedns.vn.
acb.net.vn.		43200	IN	NS	ns2.zonedns.vn.
acb.net.vn.		43200	IN	NS	ns3.zonedns.vn.
acb.net.vn.		43200	IN	NS	ns4.zonedns.vn.
acbel.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
acbel.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
acbel.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
acca.net.vn.		43200	IN	NS	ns1.dotvndns.vn.
acca.net.vn.		43200	IN	NS	ns2.dotvndns.vn.
accaglobal.net.vn.	43200	IN	NS	ns1.dotvndns.vn.
accaglobal.net.vn.	43200	IN	NS	ns2.dotvndns.vn.
accenture.net.vn.	43200	IN	NS	a4.nstld.com.
accenture.net.vn.	43200	IN	NS	f4.nstld.com.
access.net.vn.		43200	IN	NS	ns1.matbao.vn.
access.net.vn.		43200	IN	NS	ns2.matbao.vn.
aceo.net.vn.		43200	IN	NS	ns1.matbao.vn.
aceo.net.vn.		43200	IN	NS	ns2.matbao.vn.
achau.net.vn.		43200	IN	NS	ns1.matbao.com.
achau.net.vn.		43200	IN	NS	ns2.matbao.com.
aci.net.vn.		43200	IN	NS	ns-hold.vnnic.vn.
acit.net.vn.		43200	IN	NS	ns1.zonedns.vn.
acit.net.vn.		43200	IN	NS	ns2.zonedns.vn.
acit.net.vn.		43200	IN	NS	ns3.zonedns.vn.
acit.net.vn.		43200	IN	NS	ns4.zonedns.vn.
acled.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
acled.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
acled.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
acquydongnai.net.vn.	43200	IN	NS	ns1.matbao.vn.
acquydongnai.net.vn.	43200	IN	NS	ns2.matbao.vn.
actec.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
actec.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
actec.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
actioncoach.net.vn.	43200	IN	NS	ns1.digipowerdns.com.
actioncoach.net.vn.	43200	IN	NS	ns2.digipowerdns.com.
activate.net.vn.	43200	IN	NS	ns-hold.vnnic.vn.
ad.net.vn.		43200	IN	NS	ns1.sdns.vn.
ad.net.vn.		43200	IN	NS	ns2.sdns.vn.
adayroi.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
adayroi.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
adayroi.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
adbox.net.vn.		43200	IN	NS	ns1.matbao.vn.
adbox.net.vn.		43200	IN	NS	ns2.matbao.vn.
adc.net.vn.		43200	IN	NS	dns1.fpt.vn.
adc.net.vn.		43200	IN	NS	dns2.fpt.vn.
adcbook.net.vn.		43200	IN	NS	dns21.fpt.vn.
adcbook.net.vn.		43200	IN	NS	dns22.fpt.vn.
adcbookiz.net.vn.	43200	IN	NS	ns1.matbao.vn.
adcbookiz.net.vn.	43200	IN	NS	ns2.matbao.vn.
adidaphat.net.vn.	43200	IN	NS	ns1.matbao.vn.
adidaphat.net.vn.	43200	IN	NS	ns2.matbao.vn.
adidas.net.vn.		43200	IN	NS	ns1.matbao.vn.
adidas.net.vn.		43200	IN	NS	ns2.matbao.vn.
adm.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
adm.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
adm.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
admin.net.vn.		43200	IN	NS	ns1.matbao.vn.
admin.net.vn.		43200	IN	NS	ns2.matbao.vn.
admob.net.vn.		43200	IN	NS	ns1.dns.net.vn.
admob.net.vn.		43200	IN	NS	ns2.dns.net.vn.
